passenger_id,card_number,passenger_type,age_group,gender,home_stop_id,registration_date,card_status
P000070,UTC-1707-0000070,student,18_25,M,S0068,2022-03-01,active
P000071,UTC-1795-0000071,regular,26_40,F,S0047,2023-04-24,active
P000072,UTC-8238-0000072,regular,60_plus,M,S0033,2022-01-21,active
P000073,UTC-1904-0000073,regular,41_60,M,S0048,2020-10-09,active
P000074,UTC-5550-0000074,regular,18_25,M,S0042,2025-10-04,active
P000075,UTC-5591-0000075,regular,26_40,F,S0034,2023-12-22,active
P000076,UTC-6780-0000076,student,under_18,X,S0039,2025-05-29,active
P000077,UTC-6102-0000077,regular,26_40,F,S0077,2025-11-26,active
P000078,UTC-3044-0000078,regular,41_60,F,S0032,2025-10-14,active
P000079,UTC-8947-0000079,senior,60_plus,M,S0041,2022-06-10,active
P000080,UTC-7290-0000080,student,18_25,M,S0037,2023-02-09,active
P000081,UTC-8982-0000081,regular,26_40,M,S0045,2023-09-23,active
P000082,UTC-7695-0000082,regular,60_plus,M,S0045,2021-06-23,active
P000083,UTC-7557-0000083,regular,26_40,F,S0037,2025-03-07,active
P000084,UTC-1060-0000084,senior,60_plus,M,S0078,2026-02-05,active
P000085,UTC-3672-0000085,regular,41_60,M,S0068,2022-07-14,active
P000086,UTC-7282-0000086,senior,60_plus,F,S0035,2021-01-11,active
P000087,UTC-3032-0000087,student,18_25,M,S0037,2020-08-11,active
P000088,UTC-2395-0000088,regular,26_40,F,S0124,2022-10-23,active
P000089,UTC-5276-0000089,regular,26_40,M,S0115,2024-12-24,active
P000090,UTC-7085-0000090,regular,18_25,F,S0035,2026-04-19,active
P000091,UTC-8179-0000091,regular,41_60,F,S0037,2023-11-23,active
P000092,UTC-8991-0000092,regular,26_40,X,S0004,2025-01-24,active
P000093,UTC-7713-0000093,regular,60_plus,M,S0035,2026-02-22,active
P000094,UTC-8351-0000094,regular,26_40,F,S0049,2024-07-13,active
P000095,UTC-2467-0000095,regular,26_40,M,S0040,2021-05-17,active
P000096,UTC-5471-0000096,regular,41_60,F,S0089,2026-03-07,active
P000097,UTC-6205-0000097,student,18_25,M,S0090,2022-08-16,active
P000098,UTC-9469-0000098,regular,26_40,M,S0041,2025-09-13,active
P000099,UTC-9793-0000099,regular,41_60,M,S0048,2025-10-12,active
P000100,UTC-6665-0000100,student,18_25,M,S0045,2021-01-05,active
P000101,UTC-5748-0000101,regular,26_40,M,S0071,2019-08-16,active
P000102,UTC-1725-0000102,regular,41_60,F,S0039,2026-04-16,active
P000103,UTC-2930-0000103,student,18_25,F,S0034,2025-12-25,active
P000104,UTC-5765-0000104,regular,18_25,M,S0049,2026-04-17,active
P000105,UTC-4463-0000105,regular,26_40,M,S0090,2026-01-05,active
P000106,UTC-6986-0000106,regular,26_40,F,S0033,2020-01-19,active
P000107,UTC-4033-0000107,regular,41_60,F,S0083,2021-06-10,active
P000108,UTC-2363-0000108,senior,60_plus,M,S0048,2026-07-12,active
P000109,UTC-9989-0000109,regular,26_40,F,S0031,2021-07-13,active
P000110,UTC-2057-0000110,regular,41_60,M,S0076,2024-09-29,active
P000111,UTC-5064-0000111,regular,18_25,M,S0089,2026-01-11,active
P000112,UTC-5162-0000112,regular,18_25,X,S0038,2022-09-13,active
P000113,UTC-4282-0000113,student,18_25,M,S0030,2026-07-17,active
P000114,UTC-3257-0000114,regular,26_40,M,S0005,2021-06-15,expired
P000115,UTC-9599-0000115,regular,26_40,F,S0025,2025-11-21,active
P000116,UTC-2695-0000116,student,18_25,M,S0019,2025-09-05,active
P000117,UTC-1647-0000117,regular,41_60,M,S0045,2020-08-06,active
P000118,UTC-8912-0000118,regular,18_25,M,S0042,2024-01-01,active
P000119,UTC-1718-0000119,regular,26_40,M,S0034,2026-08-13,active
P000120,UTC-2166-0000120,regular,26_40,F,S0027,2022-05-27,active
P000121,UTC-3391-0000121,regular,41_60,M,S0074,2023-03-30,active
P000122,UTC-9519-0000122,regular,26_40,M,S0040,2022-09-23,active
P000123,UTC-4860-0000123,regular,18_25,M,S0050,2025-12-31,active
P000124,UTC-2461-0000124,regular,26_40,F,S0044,2025-08-19,active
P000125,UTC-6478-0000125,regular,41_60,M,S0049,2023-05-15,active
P000126,UTC-9592-0000126,senior,60_plus,M,S0004,2025-08-21,active
P000127,UTC-7573-0000127,regular,18_25,M,S0049,2021-11-20,active
P000128,UTC-9610-0000128,student,18_25,M,S0080,2022-02-21,active
P000129,UTC-8277-0000129,regular,18_25,M,S0005,2025-10-07,expired
P000130,UTC-3899-0000130,regular,18_25,M,S0037,2026-03-17,blocked
P000131,UTC-2572-0000131,senior,60_plus,F,S0045,2026-02-23,active
P000132,UTC-4519-0000132,disabled,18_25,F,S0047,2020-07-25,blocked
P000133,UTC-3131-0000133,student,under_18,M,S0076,2021-02-08,active
P000134,UTC-7616-0000134,regular,26_40,M,S0027,2024-05-07,active
P000135,UTC-6941-0000135,regular,41_60,M,S0044,2026-05-04,active
P000136,UTC-7117-0000136,regular,41_60,M,S0048,2025-05-31,active
P000137,UTC-7418-0000137,regular,18_25,F,S0053,2019-03-01,active
P000138,UTC-5121-0000138,regular,26_40,M,S0032,2026-01-20,active
P000139,UTC-5150-0000139,regular,18_25,F,S0034,2025-06-30,active
P000140,UTC-2117-0000140,senior,60_plus,F,S0045,2026-03-12,active
P000141,UTC-5265-0000141,student,under_18,M,S0033,2019-09-11,active
P000142,UTC-8515-0000142,regular,26_40,M,S0031,2026-02-26,active
P000143,UTC-2865-0000143,regular,41_60,M,S0039,2021-01-19,active
P000144,UTC-9505-0000144,regular,41_60,F,S0082,2025-11-08,blocked
P000145,UTC-6812-0000145,regular,41_60,F,S0041,2024-01-20,active
P000146,UTC-6021-0000146,regular,18_25,M,S0049,2020-07-15,active
P000147,UTC-1208-0000147,regular,41_60,F,S0019,2022-01-04,active
P000148,UTC-5172-0000148,regular,26_40,F,S0073,2022-12-21,active
P000149,UTC-7404-0000149,student,under_18,M,S0032,2026-06-15,active
P000150,UTC-7320-0000150,regular,26_40,F,S0044,2022-03-11,active
P000151,UTC-5459-0000151,student,under_18,M,S0072,2024-11-03,active
P000152,UTC-1300-0000152,regular,26_40,M,S0085,2023-01-08,active
P000153,UTC-2625-0000153,regular,41_60,F,S0049,2023-03-02,active
P000154,UTC-3370-0000154,student,18_25,F,S0029,2026-03-22,active
P000155,UTC-9700-0000155,regular,26_40,F,S0043,2019-03-24,active
P000156,UTC-8894-0000156,regular,18_25,F,S0046,2020-06-20,active
P000157,UTC-2918-0000157,student,under_18,M,S0049,2022-03-17,active
P000158,UTC-5859-0000158,regular,26_40,M,S0059,2024-04-10,active
P000159,UTC-2207-0000159,student,under_18,M,S0062,2026-02-23,active
P000160,UTC-8149-0000160,regular,26_40,F,S0042,2019-12-02,active
P000161,UTC-9573-0000161,regular,41_60,M,S0036,2026-07-04,active
P000162,UTC-2928-0000162,regular,26_40,F,S0066,2025-01-19,active
P000163,UTC-5894-0000163,regular,26_40,M,S0044,2020-12-17,active
P000164,UTC-7779-0000164,disabled,41_60,M,S0036,2025-12-07,active
P000165,UTC-7797-0000165,regular,41_60,M,S0042,2025-01-06,active
P000166,UTC-6701-0000166,regular,26_40,M,S0005,2026-02-17,active
P000167,UTC-7589-0000167,regular,41_60,M,S0094,2020-04-11,active
P000168,UTC-1018-0000168,student,under_18,F,S0036,2026-06-08,active
P000169,UTC-3991-0000169,student,under_18,M,S0005,2026-03-20,active
P000170,UTC-4438-0000170,senior,60_plus,M,S0031,2020-04-21,active
P000171,UTC-6293-0000171,regular,41_60,M,S0035,2026-05-24,active
P000172,UTC-7292-0000172,regular,26_40,F,S0044,2022-08-18,active
P000173,UTC-8822-0000173,regular,60_plus,F,S0033,2025-12-01,active
P000174,UTC-5483-0000174,regular,26_40,F,S0044,2023-07-22,active
P000175,UTC-2644-0000175,regular,41_60,M,S0054,2020-06-04,active
P000176,UTC-4422-0000176,student,18_25,M,S0059,2021-11-28,active
P000177,UTC-1268-0000177,regular,41_60,M,S0025,2024-12-10,blocked
P000178,UTC-4053-0000178,regular,26_40,F,S0056,2025-10-02,active
P000179,UTC-3380-0000179,student,18_25,M,S0060,2023-10-08,active
P000180,UTC-1218-0000180,regular,26_40,X,S0032,2019-01-27,active
P000181,UTC-7824-0000181,regular,26_40,M,S0044,2026-03-24,expired
P000182,UTC-8085-0000182,regular,26_40,M,S0039,2022-10-24,active
P000183,UTC-5791-0000183,regular,41_60,F,S0073,2025-10-27,blocked
P000184,UTC-1741-0000184,regular,26_40,M,S0121,2025-12-13,active
P000185,UTC-5691-0000185,regular,26_40,F,S0029,2023-06-21,active
P000186,UTC-7765-0000186,senior,60_plus,M,S0037,2024-12-11,active
P000187,UTC-8561-0000187,senior,60_plus,M,S0067,2026-07-20,active
P000188,UTC-3802-0000188,regular,18_25,M,S0057,2026-02-10,active
P000189,UTC-1510-0000189,regular,41_60,M,S0040,2021-04-18,active
P000190,UTC-7230-0000190,regular,41_60,F,S0043,2021-07-04,active
P000191,UTC-4691-0000191,disabled,41_60,M,S0076,2024-03-10,active
P000192,UTC-7804-0000192,regular,18_25,F,S0061,2022-02-11,active
P000193,UTC-5284-0000193,senior,60_plus,X,S0074,2022-05-26,active
P000194,UTC-9583-0000194,student,18_25,F,S0043,2024-09-11,active
P000195,UTC-4987-0000195,student,under_18,M,S0071,2026-04-17,active
P000196,UTC-5733-0000196,student,under_18,M,S0076,2024-12-21,active
P000197,UTC-9657-0000197,regular,26_40,M,S0090,2025-09-03,active
P000198,UTC-7635-0000198,regular,41_60,F,S0075,2024-12-22,active
P000199,UTC-3962-0000199,regular,26_40,M,S0044,2026-08-04,active
P000200,UTC-7104-0000200,regular,41_60,M,S0060,2019-06-04,blocked
P000201,UTC-2104-0000201,regular,26_40,M,S0030,2023-05-03,active
P000202,UTC-5625-0000202,student,18_25,M,S0049,2026-05-31,active
P000203,UTC-9078-0000203,regular,26_40,M,S0038,2025-04-29,active
P000204,UTC-5726-0000204,regular,18_25,M,S0076,2025-02-02,active
P000205,UTC-7122-0000205,regular,41_60,F,S0041,2019-05-29,active
P000206,UTC-3407-0000206,student,under_18,F,S0040,2026-07-26,active
P000207,UTC-7897-0000207,regular,41_60,M,S0039,2019-12-05,active
P000208,UTC-8926-0000208,regular,26_40,M,S0042,2020-02-09,active
P000209,UTC-5655-0000209,regular,41_60,M,S0079,2019-08-09,active
P000210,UTC-3114-0000210,regular,41_60,F,S0032,2025-09-25,active
P000211,UTC-4929-0000211,student,under_18,F,S0029,2025-11-22,active
P000212,UTC-8822-0000212,regular,26_40,M,S0027,2025-06-27,active
P000213,UTC-2146-0000213,senior,60_plus,F,S0043,2022-12-30,active
P000214,UTC-7902-0000214,regular,26_40,M,S0046,2019-07-18,active
P000215,UTC-3074-0000215,regular,60_plus,M,S0047,2025-09-17,expired
P000216,UTC-9905-0000216,regular,26_40,M,S0045,2025-10-28,active
P000217,UTC-7246-0000217,regular,26_40,F,S0044,2020-03-08,active
P000218,UTC-9724-0000218,regular,26_40,M,S0049,2021-09-13,active
P000219,UTC-8460-0000219,student,under_18,F,S0065,2019-09-16,active
P000220,UTC-5277-0000220,student,18_25,M,S0049,2026-07-31,active
P000221,UTC-4834-0000221,senior,60_plus,F,S0032,2024-10-01,active
P000222,UTC-9570-0000222,student,18_25,M,S0033,2026-02-01,active
P000223,UTC-8398-0000223,student,18_25,F,S0039,2023-10-26,active
P000224,UTC-2081-0000224,student,18_25,F,S0030,2022-08-28,active
P000225,UTC-8390-0000225,senior,60_plus,M,S0068,2026-07-22,active
P000226,UTC-6613-0000226,student,18_25,M,S0059,2025-12-25,active
P000227,UTC-3253-0000227,regular,26_40,F,S0088,2025-10-07,active
P000228,UTC-8987-0000228,regular,26_40,M,S0005,2023-01-13,active
P000229,UTC-5810-0000229,regular,26_40,M,S0070,2022-08-22,active
P000230,UTC-2542-0000230,regular,41_60,F,S0105,2020-11-30,active
P000231,UTC-4582-0000231,regular,26_40,M,S0037,2021-04-21,active
P000232,UTC-8592-0000232,regular,41_60,M,S0042,2024-08-29,blocked
P000233,UTC-8641-0000233,regular,26_40,M,S0047,2022-01-20,active
P000234,UTC-2807-0000234,student,18_25,M,S0046,2020-04-10,active
P000235,UTC-1738-0000235,regular,60_plus,F,S0030,2025-08-10,active
P000236,UTC-4135-0000236,senior,60_plus,M,S0058,2021-01-03,active
P000237,UTC-9874-0000237,regular,26_40,M,S0038,2024-07-23,active
P000238,UTC-4117-0000238,regular,26_40,M,S0118,2025-10-17,active
P000239,UTC-2987-0000239,regular,18_25,F,S0043,2019-01-14,active
P000240,UTC-1820-0000240,regular,60_plus,F,S0067,2024-01-18,active
P000241,UTC-4897-0000241,regular,18_25,M,S0076,2020-02-22,active
P000242,UTC-8651-0000242,disabled,60_plus,F,S0065,2023-11-17,active
P000243,UTC-4907-0000243,student,under_18,F,S0041,2019-08-22,active
P000244,UTC-1235-0000244,student,under_18,M,S0109,2025-12-20,active
P000245,UTC-8423-0000245,regular,41_60,M,S0041,2022-01-23,active
P000246,UTC-7591-0000246,student,18_25,M,S0070,2025-11-18,active
P000247,UTC-2674-0000247,regular,26_40,M,S0051,2022-05-12,active
P000248,UTC-6248-0000248,student,18_25,F,S0057,2024-08-12,active
P000249,UTC-3184-0000249,regular,18_25,M,S0032,2026-04-10,active
P000250,UTC-9746-0000250,regular,41_60,F,S0047,2020-09-28,active
P000251,UTC-1304-0000251,regular,41_60,F,S0108,2019-07-07,active
P000252,UTC-2917-0000252,student,18_25,M,S0038,2022-07-06,active
P000253,UTC-5211-0000253,regular,26_40,M,S0044,2020-03-12,active
P000254,UTC-8501-0000254,student,18_25,M,S0050,2019-04-09,active
P000255,UTC-8048-0000255,student,18_25,M,S0070,2020-05-02,active
P000256,UTC-4854-0000256,regular,26_40,M,S0122,2021-05-20,active
P000257,UTC-8275-0000257,regular,26_40,M,S0036,2025-02-11,blocked
P000258,UTC-6057-0000258,student,under_18,F,S0050,2023-07-11,active
P000259,UTC-6064-0000259,senior,60_plus,M,S0004,2026-01-31,active
P000260,UTC-4141-0000260,senior,60_plus,M,S0034,2024-09-28,active
P000261,UTC-1668-0000261,student,18_25,M,S0045,2025-07-14,active
P000262,UTC-6613-0000262,regular,26_40,M,S0041,2023-09-04,active
P000263,UTC-6729-0000263,regular,26_40,F,S0004,2026-04-16,active
P000264,UTC-2318-0000264,regular,60_plus,M,S0032,2020-08-15,active
P000265,UTC-4241-0000265,regular,26_40,F,S0044,2021-01-25,active
P000266,UTC-4744-0000266,student,under_18,M,S0049,2025-12-07,active
P000267,UTC-4312-0000267,regular,41_60,F,S0089,2026-08-08,active
P000268,UTC-7400-0000268,regular,26_40,M,S0041,2021-06-14,active
P000269,UTC-9547-0000269,student,18_25,M,S0038,2026-05-28,active
P000270,UTC-9252-0000270,regular,26_40,M,S0041,2019-07-21,active
P000271,UTC-9666-0000271,regular,60_plus,M,S0017,2020-09-05,blocked
P000272,UTC-7248-0000272,regular,18_25,M,S0050,2025-09-13,active
P000273,UTC-7682-0000273,regular,18_25,M,S0049,2026-07-17,active
P000274,UTC-3493-0000274,regular,26_40,M,S0095,2022-06-05,active
P000275,UTC-3087-0000275,student,under_18,F,S0093,2023-01-21,active
P000276,UTC-3646-0000276,regular,26_40,M,S0053,2025-12-16,active
P000277,UTC-6305-0000277,regular,26_40,M,S0069,2025-09-04,active
P000278,UTC-7617-0000278,regular,26_40,F,S0029,2025-10-31,active
P000279,UTC-7845-0000279,student,under_18,M,S0076,2022-12-13,active
P000280,UTC-9325-0000280,student,18_25,F,S0046,2019-02-12,active
P000281,UTC-9984-0000281,regular,41_60,F,S0041,2019-01-03,active
P000282,UTC-1128-0000282,regular,41_60,F,S0092,2019-08-24,expired
P000283,UTC-6623-0000283,regular,26_40,M,S0059,2024-10-19,active
P000284,UTC-8155-0000284,regular,26_40,M,S0030,2025-10-24,active
P000285,UTC-1306-0000285,regular,41_60,M,S0031,2026-07-06,active
P000286,UTC-7150-0000286,regular,26_40,M,S0043,2026-02-28,active
P000287,UTC-1171-0000287,regular,41_60,F,S0038,2024-09-01,active
P000288,UTC-1509-0000288,regular,41_60,M,S0036,2025-12-11,active
P000289,UTC-3065-0000289,regular,60_plus,M,S0033,2023-01-19,active
P000290,UTC-5783-0000290,student,under_18,M,S0042,2025-01-09,active
P000291,UTC-5423-0000291,regular,41_60,M,S0041,2024-11-09,active
P000292,UTC-5328-0000292,regular,41_60,M,S0050,2025-07-01,active
P000293,UTC-7186-0000293,student,18_25,F,S0082,2024-02-22,active
P000294,UTC-4282-0000294,student,18_25,F,S0091,2024-04-07,active
P000295,UTC-6676-0000295,regular,26_40,F,S0111,2020-07-15,active
P000296,UTC-8361-0000296,regular,41_60,M,S0031,2025-06-15,active
P000297,UTC-2124-0000297,senior,60_plus,M,S0046,2022-09-20,active
P000298,UTC-3595-0000298,student,18_25,F,S0019,2021-03-22,active
P000299,UTC-1016-0000299,regular,26_40,M,S0044,2022-06-10,active
P000300,UTC-2944-0000300,regular,26_40,M,S0041,2022-01-21,active
P000301,UTC-8268-0000301,student,18_25,F,S0049,2022-06-12,active
P000302,UTC-7791-0000302,regular,18_25,M,S0025,2025-12-03,active
P000303,UTC-5375-0000303,regular,41_60,M,S0032,2021-03-19,blocked
P000304,UTC-4841-0000304,regular,26_40,M,S0070,2026-02-04,active
P000305,UTC-5812-0000305,student,under_18,M,S0033,2021-08-03,active
P000306,UTC-2133-0000306,regular,18_25,M,S0044,2024-10-15,active
P000307,UTC-1186-0000307,student,18_25,M,S0084,2024-11-23,active
P000308,UTC-1124-0000308,regular,18_25,M,S0126,2020-07-08,active
P000309,UTC-9569-0000309,regular,26_40,M,S0032,2019-06-20,active
P000310,UTC-8775-0000310,student,18_25,M,S0049,2021-05-26,active
P000311,UTC-8979-0000311,regular,41_60,F,S0076,2024-01-08,active
P000312,UTC-5767-0000312,student,18_25,M,S0046,2019-12-15,active
P000313,UTC-6943-0000313,regular,26_40,M,S0062,2025-02-06,active
P000314,UTC-5245-0000314,regular,18_25,F,S0005,2019-04-21,active
P000315,UTC-4162-0000315,regular,18_25,X,S0004,2024-09-25,active
P000316,UTC-8597-0000316,regular,18_25,M,S0088,2021-07-22,active
P000317,UTC-5196-0000317,regular,26_40,M,S0048,2026-02-04,active
P000318,UTC-4549-0000318,regular,26_40,F,S0068,2026-07-18,active
P000319,UTC-2291-0000319,student,18_25,M,S0045,2024-11-19,active
P000320,UTC-6197-0000320,student,under_18,M,S0069,2019-11-09,active
P000321,UTC-3747-0000321,student,18_25,M,S0054,2023-02-10,active
P000322,UTC-3838-0000322,disabled,18_25,M,S0041,2023-02-11,active
P000323,UTC-8174-0000323,regular,18_25,M,S0029,2020-07-12,active
P000324,UTC-5112-0000324,regular,18_25,M,S0029,2024-09-20,active
P000325,UTC-6611-0000325,disabled,26_40,M,S0044,2024-09-29,active
P000326,UTC-5747-0000326,regular,18_25,F,S0035,2025-10-24,active
P000327,UTC-8343-0000327,regular,18_25,F,S0004,2023-06-29,active
P000328,UTC-2814-0000328,regular,41_60,M,S0044,2019-02-10,expired
P000329,UTC-2663-0000329,regular,26_40,M,S0053,2020-05-06,active
P000330,UTC-4124-0000330,regular,41_60,M,S0086,2021-05-22,active
P000331,UTC-9004-0000331,regular,18_25,M,S0032,2023-01-24,active
P000332,UTC-5145-0000332,regular,60_plus,F,S0050,2019-06-01,active
P000333,UTC-4184-0000333,student,under_18,M,S0106,2026-01-17,active
P000334,UTC-3678-0000334,regular,26_40,X,S0033,2024-08-24,expired
P000335,UTC-6199-0000335,regular,26_40,M,S0043,2026-03-31,active
P000336,UTC-6338-0000336,regular,26_40,F,S0045,2026-05-09,active
P000337,UTC-4617-0000337,regular,26_40,M,S0056,2021-10-23,active
P000338,UTC-6351-0000338,regular,26_40,M,S0042,2025-10-24,active
P000339,UTC-8912-0000339,regular,26_40,M,S0077,2024-09-04,active
P000340,UTC-7503-0000340,student,under_18,F,S0042,2020-05-12,active
P000341,UTC-7427-0000341,student,under_18,F,S0027,2026-02-25,active
P000342,UTC-6231-0000342,regular,18_25,F,S0053,2025-02-13,active
P000343,UTC-9297-0000343,senior,60_plus,M,S0043,2019-08-13,active
P000344,UTC-3428-0000344,student,under_18,M,S0049,2026-04-23,active
P000345,UTC-6957-0000345,regular,41_60,F,S0037,2025-12-22,active
P000346,UTC-8717-0000346,regular,18_25,M,S0042,2026-03-29,active
P000347,UTC-9578-0000347,regular,18_25,M,S0103,2025-03-05,active
P000348,UTC-2025-0000348,regular,26_40,M,S0034,2025-02-17,active
P000349,UTC-3843-0000349,regular,18_25,F,S0125,2026-03-07,active
P000350,UTC-3774-0000350,student,18_25,M,S0047,2026-03-30,active
P000351,UTC-1985-0000351,student,under_18,M,S0033,2023-04-11,active
P000352,UTC-9378-0000352,regular,26_40,F,S0031,2022-12-21,active
P000353,UTC-7817-0000353,regular,26_40,F,S0055,2019-07-14,active
P000354,UTC-4788-0000354,regular,26_40,M,S0032,2023-02-07,expired
P000355,UTC-1762-0000355,regular,18_25,M,S0030,2026-04-22,active
P000356,UTC-1109-0000356,regular,18_25,M,S0045,2020-06-14,active
P000357,UTC-5728-0000357,regular,41_60,F,S0033,2019-04-04,active
P000358,UTC-3888-0000358,student,under_18,M,S0046,2023-04-25,active
P000359,UTC-5887-0000359,student,18_25,F,S0005,2025-05-13,blocked
P000360,UTC-1331-0000360,regular,18_25,F,S0043,2021-04-24,active
P000361,UTC-8175-0000361,regular,26_40,F,S0124,2022-08-26,active
P000362,UTC-6334-0000362,regular,18_25,F,S0101,2025-12-06,active
P000363,UTC-3554-0000363,disabled,26_40,F,S0046,2026-05-31,active
P000364,UTC-5178-0000364,regular,41_60,F,S0048,2019-08-29,active
P000365,UTC-5938-0000365,regular,26_40,F,S0040,2025-11-01,active
P000366,UTC-8952-0000366,regular,18_25,M,S0032,2023-12-30,active
P000367,UTC-2016-0000367,regular,18_25,M,S0035,2019-09-29,active
P000368,UTC-8685-0000368,regular,26_40,F,S0081,2019-03-06,active
P000369,UTC-9405-0000369,regular,41_60,M,S0031,2019-11-04,active
P000370,UTC-3841-0000370,regular,41_60,F,S0077,2026-06-15,active
P000371,UTC-8974-0000371,regular,26_40,F,S0089,2019-03-03,active
P000372,UTC-2112-0000372,student,under_18,M,S0005,2024-02-16,active
P000373,UTC-4042-0000373,senior,60_plus,F,S0085,2020-08-11,active
P000374,UTC-7630-0000374,regular,26_40,F,S0065,2026-01-04,active
P000375,UTC-8104-0000375,student,under_18,M,S0125,2023-03-31,active
P000376,UTC-5590-0000376,regular,41_60,F,S0048,2023-04-22,active
